"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	70016951	70016992	328	325	FALSE	TRUE	TRUE
10	70016997	70017738	694	652	TRUE	TRUE	TRUE
10	70017743	70017855	465	459	FALSE	TRUE	TRUE
10	70017860	70017899	488	486	FALSE	TRUE	TRUE
10	70017904	70018037	295	288	TRUE	TRUE	TRUE
10	70018042	70018237	1443	589	FALSE	TRUE	TRUE
10	70018242	70018710	277	254	TRUE	TRUE	TRUE
10	70018715	70018799	583	579	FALSE	TRUE	FALSE
10	70018804	70019329	190	166	FALSE	TRUE	TRUE
10	70019334	70019390	117	114	TRUE	TRUE	FALSE
10	70019395	70019504	299	570	FALSE	TRUE	TRUE
10	70019509	70020072	457	511	TRUE	FALSE	TRUE
10	70020077	70020139	687	196	FALSE	TRUE	TRUE
10	70020144	70020169	612	873	FALSE	TRUE	TRUE
10	70020174	70020192	2	896	TRUE	FALSE	FALSE
10	70020197	70020204	590	63	FALSE	FALSE	FALSE
10	70020209	70020342	358	664	TRUE	TRUE	FALSE
10	70020347	70020434	555	639	FALSE	TRUE	TRUE
10	70020439	70020872	1114	1489	TRUE	TRUE	TRUE
10	70020877	70020953	1199	1664	FALSE	TRUE	TRUE
10	70020958	70021039	1181	1849	FALSE	TRUE	TRUE
10	70021044	70021189	1429	1693	TRUE	TRUE	TRUE
10	70021194	70021577	1541	2351	FALSE	TRUE	TRUE
10	70021582	70021894	1656	2161	TRUE	TRUE	TRUE
10	70021899	70022183	2034	2080	TRUE	TRUE	TRUE
10	70022188	70022239	2127	1922	FALSE	FALSE	FALSE
10	70022244	70022363	2100	2022	TRUE	FALSE	TRUE
10	70022368	70022468	2062	1625	FALSE	TRUE	FALSE
10	70022473	70022525	2243	2241	FALSE	TRUE	FALSE
10	70022530	70022555	1737	1501	FALSE	TRUE	TRUE
10	70022560	70022575	1841	1444	FALSE	FALSE	FALSE
10	70022580	70022642	2187	2008	FALSE	TRUE	TRUE
10	70022647	70022710	1839	1226	FALSE	TRUE	TRUE
10	70022715	70022736	1663	2106	FALSE	FALSE	FALSE
10	70022741	70022847	2105	1428	FALSE	FALSE	TRUE
10	70022852	70022905	1489	1400	FALSE	TRUE	TRUE
10	70022910	70023448	1632	829	FALSE	TRUE	TRUE
10	70023453	70023698	681	471	FALSE	TRUE	TRUE
10	70023703	70023820	279	462	FALSE	TRUE	TRUE
10	70023825	70024347	395	503	TRUE	TRUE	TRUE
10	70024352	70024355	319	128	FALSE	FALSE	FALSE
10	70024360	70024902	0	0	TRUE	TRUE	TRUE
10	70024907	70024912	184	722	FALSE	FALSE	FALSE
10	70024917	70025143	426	423	TRUE	TRUE	TRUE
10	70025148	70025280	50	48	TRUE	TRUE	TRUE
10	70025285	70025325	0	207	FALSE	FALSE	FALSE
10	70025330	70025628	388	383	TRUE	FALSE	TRUE
10	70025633	70025705	285	300	TRUE	TRUE	FALSE
10	70025710	70025993	267	263	FALSE	TRUE	TRUE
10	70025998	70026190	366	364	FALSE	TRUE	TRUE
10	70026195	70026427	47	44	FALSE	TRUE	TRUE
10	70026432	70026510	195	194	TRUE	TRUE	FALSE
10	70026515	70026554	485	485	FALSE	TRUE	TRUE
